series_release,series_code,series_description,geoAreaCode,X,Y,ISO3CD,geoAreaName,sliceId,Units,Units_description,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,last_5_years_mean,latest_year,latest_value,latest_source,latest_nature,FID
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),438,9.552985019,47.14167005,LIE,Liechtenstein,1,PERCENT,Percentage,0,0,0,0,0,0,0,54.48,54.2,58.99,58.69,61.43,61.92,60.47,62.59,63.13,61.908,2015,63.13,"Source: Energy Balances, UN Statistics Division (2017)",E,1
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),440,23.90517807,55.33680309,LTU,Lithuania,1,PERCENT,Percentage,17.19,17.59,17.89,18.07,18.07,17.51,17.46,17.06,18.33,20.09,21.46,22.74,23.92,26.34,27.71,28.96,25.934,2015,28.96,"Source: World Energy Balances, IEA (2017)",E,2
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),442,6.092656563,49.77679538,LUX,Luxembourg,1,PERCENT,Percentage,6.85,3.43,1.31,1.27,1.36,1.89,2.09,3.64,3.97,3.74,3.66,3.73,4.15,5.72,6.88,9.03,5.902,2015,9.03,"Source: World Energy Balances, IEA (2017)",E,3
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),446,113.5665388,22.1237259,MAC,"China, Macao Special Administrative Region",1,PERCENT,Percentage,0.18,16.97,22.85,23.42,23.5,23.31,23.64,4.2,4.77,3.22,5.81,5.51,9.87,14.42,10.02,7.05,9.374,2015,7.05,"Source: Energy Balances, UN Statistics Division (2017)",E,4
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),450,46.6982339,-19.38514785,MDG,Madagascar,1,PERCENT,Percentage,78.4,80,83.48,80.6,79.86,80.47,84.34,83.34,82.33,83.18,81.93,78.84,76.4,72.74,72.03,70.17,74.036,2015,70.17,"Source: Energy Balances, UN Statistics Division (2017)",E,5
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),454,33.4884625,-13.40819859,MWI,Malawi,1,PERCENT,Percentage,82.47,81.22,82.18,81.34,82.29,83.8,83.34,84.09,81.53,83.36,79.47,79.66,80.37,79.87,79.95,83.65,80.7,2015,83.65,"Source: Energy Balances, UN Statistics Division (2017)",E,6
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),458,116.8346314,5.452415309,MYS,Malaysia,1,PERCENT,Percentage,6.74,6.48,5.72,5.41,5.17,4.92,4.99,4.56,4.73,4.23,3.82,4.11,4.41,4.49,4.77,5.19,4.594,2015,5.19,"Source: World Energy Balances, IEA (2017)",E,7
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),462,73.09672546,-0.614385021,MDV,Maldives,1,PERCENT,Percentage,2.13,2.05,1.63,1.97,1.53,1.76,1.44,1.38,1.36,1.26,1.16,1.14,1.04,1.04,0.9,1.01,1.026,2015,1.01,"Source: Energy Balances, UN Statistics Division (2017)",E,8
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),466,-3.522016039,17.35311254,MLI,Mali,1,PERCENT,Percentage,85.39,85.33,85.91,86.44,85.84,85.8,82.67,78.89,76.24,72.71,69.13,66.65,64.93,62.41,64.59,61.53,64.022,2015,61.53,"Source: Energy Balances, UN Statistics Division (2017)",E,9
2018.Q2.G.01,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),470,14.44617519,35.89194275,MLT,Malta,1,PERCENT,Percentage,0,0,0.09,0.1,0.12,0.18,0.21,0.27,0.25,0.26,1.39,2.03,2.6,2.58,3.93,5.36,3.3,2015,5.36,"Source: World Energy Balances, IEA (2017)",E,10
