Countries,Electricity Access,Energy Efficiency,Renewable Energy,Overall,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,80.25,44.92,41.29,55.49,,,,,,,,,,,,,,,,,,,,,
China,100,73.54,66.43,79.99,,,,,,,,,,,,,,,,,,,,,
Indonesia,67.5,25.69,53.71,48.97,,,,,,,,,,,,,,,,,,,,,
Lao PDR,45.5,11.38,30.57,29.15,,,,,,,,,,,,,,,,,,,,,
Malaysia,100,57.77,57.71,71.83,,,,,,,,,,,,,,,,,,,,,
Mongolia,25,32.54,28.71,28.75,,,,,,,,,,,,,,,,,,,,,
Myanmar,59.25,15.38,27.86,34.16,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,30.63,15,36.57,27.4,,,,,,,,,,,,,,,,,,,,,
Philippines,77.25,61.38,62.43,67.02,,,,,,,,,,,,,,,,,,,,,
Singapore,100,74.62,53.86,76.16,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,35.63,16.31,30.14,27.36,,,,,,,,,,,,,,,,,,,,,
Thailand,100,59.54,47,68.85,,,,,,,,,,,,,,,,,,,,,
Vanuatu,48.63,14.85,4.29,22.59,,,,,,,,,,,,,,,,,,,,,
Vietnam,100,72,66.71,79.57,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,100,44.31,65.71,70.01,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,100,27.54,31.29,52.94,,,,,,,,,,,,,,,,,,,,,
Belarus,100,73.69,46.86,73.52,,,,,,,,,,,,,,,,,,,,,
Bulgaria,100,71.69,82.57,84.75,,,,,,,,,,,,,,,,,,,,,
Croatia,100,64.46,56,73.49,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,100,48.85,60,69.62,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,100,31.62,32.14,54.59,,,,,,,,,,,,,,,,,,,,,
Romania,100,85.38,68.29,84.56,,,,,,,,,,,,,,,,,,,,,
Russian Federation,100,59.15,59.86,73,,,,,,,,,,,,,,,,,,,,,
Serbia,100,66.08,52.86,72.98,,,,,,,,,,,,,,,,,,,,,
Tajikistan,100,44.77,36,60.26,,,,,,,,,,,,,,,,,,,,,
Turkey,100,62.46,74.71,79.06,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,100,24.54,7.86,44.13,,,,,,,,,,,,,,,,,,,,,
Ukraine,100,50.69,62.71,71.14,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,100,60.15,38.43,66.19,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,100,34.08,59,64.36,,,,,,,,,,,,,,,,,,,,,
Bolivia,100,31.92,50.57,60.83,,,,,,,,,,,,,,,,,,,,,
Brazil,100,51.77,70.86,74.21,,,,,,,,,,,,,,,,,,,,,
Colombia,100,37.46,43.57,60.34,,,,,,,,,,,,,,,,,,,,,
Costa Rica,100,32,51.71,61.24,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,100,26.38,59.14,61.84,,,,,,,,,,,,,,,,,,,,,
Ecuador,100,47.92,35.57,61.16,,,,,,,,,,,,,,,,,,,,,
El Salvador,100,18.38,50.43,56.27,,,,,,,,,,,,,,,,,,,,,
Guatemala,66.75,28.85,49.29,48.29,,,,,,,,,,,,,,,,,,,,,
Haiti,34.75,13.85,13.86,20.82,,,,,,,,,,,,,,,,,,,,,
Honduras,52.13,12.31,39.29,34.57,,,,,,,,,,,,,,,,,,,,,
Jamaica,100,47.23,54.29,67.17,,,,,,,,,,,,,,,,,,,,,
Mexico,100,68.62,68.71,79.11,,,,,,,,,,,,,,,,,,,,,
Nicaragua,66.75,31.46,48.57,48.93,,,,,,,,,,,,,,,,,,,,,
Panama,100,52.15,55,69.05,,,,,,,,,,,,,,,,,,,,,
Paraguay,100,25.69,38.43,54.71,,,,,,,,,,,,,,,,,,,,,
Peru,100,32.15,51.86,61.34,,,,,,,,,,,,,,,,,,,,,
Uruguay,100,62.69,56,72.9,,,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",100,26.31,19.14,48.48,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,100,55.38,45.29,66.89,,,,,,,,,,,,,,,,,,,,,
Bahrain,100,28.31,27.29,51.86,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",100,61,68.29,76.43,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",100,75.69,59,78.23,,,,,,,,,,,,,,,,,,,,,
Jordan,100,56.77,63,73.26,,,,,,,,,,,,,,,,,,,,,
Kuwait,100,28.38,13.14,47.18,,,,,,,,,,,,,,,,,,,,,
Lebanon,100,51.46,56,69.15,,,,,,,,,,,,,,,,,,,,,
Morocco,100,55.54,66.57,74.04,,,,,,,,,,,,,,,,,,,,,
Oman,100,34.62,13.86,49.49,,,,,,,,,,,,,,,,,,,,,
Qatar,100,39.92,27.86,55.93,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,100,58.85,31,63.28,,,,,,,,,,,,,,,,,,,,,
